id;placed_date;status;code;customer_id
1;2020-11-09T12:22:29;COMPLETED;Georgia calculate withdrawal;1
2;2020-11-08T23:18:59;COMPLETED;compress Steel out-of-the-box;2
3;2020-11-09T00:50:11;PENDING;Concrete;3
4;2020-11-09T14:16:06;CANCELLED;Investment Account;4
5;2020-11-09T01:32:56;PENDING;United States of America;5
6;2020-11-09T15:45:00;CANCELLED;IB Industrial Credit Card Account;6
7;2020-11-09T18:51:25;CANCELLED;Cotton Egyptian Pound;7
8;2020-11-09T03:47:29;COMPLETED;Home Loan Account;8
9;2020-11-09T12:41:45;COMPLETED;Human;9
10;2020-11-08T22:50:23;CANCELLED;payment;10
